NOM;PRENOM;TYPE;NIVEAU;03/07/17;04/07/17;05/07/17;06/07/17;07/07/17;08/07/17;09/07/17;10/07/17;11/07/17;12/07/17;13/07/17;14/07/17;15/07/17;16/07/17;17/07/17;18/07/17;19/07/17;20/07/17;21/07/17;22/07/17;23/07/17;24/07/17;25/07/17;26/07/17;27/07/17;28/07/17;29/07/17;30/07/17;31/07/17;01/08/17;02/08/17;03/08/17;04/08/17
DAVID;Xavier;VBA;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1
HOLLANDE;Lucien;C;3;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
DELYS;Benoit;JAVA ;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
LANCOIS;Annie;PYTHON;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
MARCEAU;Fanny;JAVA ;1;1;1;1;1;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
JOHNSON;Fabien;XML;3;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
CHEVALIER;Julie;PYTHON;10+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAURENT;Damien;C;20+;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
FOURNIER;Alice;PHP;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
CHAUMIER;Arle;PYTHON;8;1;1;1;1;1;1;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
Fekrache;Antonia;JAVA;2;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
LALLIER;Yann;C#;20+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIZO;Danny;PHP;6;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
TAL;LILI;C#;9;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
JASON;Dimitri;PHP;6;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
MARTIN;Sophie;HTML;10+;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Ballo;Laura;VBA;7;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
DOISNEAU;Fabienne;XML;5;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
AGNO;Denise;PHP;10+;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
QUIRI;Thomas;C++;10+;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;1;1;1;1
FANTIN;Xavier;C++;10+;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
DALLO;Quentin;XML;15+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
DAGOSTO;Lucien;HTML;7;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;
PINO;Francois;C;10+;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
TANIO;Vincent;PYTHON;10+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
MBOUDOU;Stephanie;JAVA;2;;;;;1;1;1;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;;;;;;
FOUZIA;Isis;PHP;3;;1;1;1;1;1;1;1;1;1;;;;;;;1;1;1;1;1;;;;;;;;;;;;
ATIA;Yves;C++;6;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;
ROBERT;Elise;HTML;4;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;1;1;1;1;1;;;;
DINI;FANY;VBA;3;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
GOMIS;Nicolas;PHP;4;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
Skywalker;Luc;JAVA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Clegane;Gregor;C;10+;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
Clegane;Sandor;C++;6;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Stark;Ned;JAVA;10+;1;1;1;1;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;;;;;1;1;1;1;1;1
Targaryen;Aegon;JAVA;20+;1;;1;1;1;1;;1;1;1;1;1;;;;1;1;1;1;1;1;;;;;1;1;1;1;1;1;1;1
Mormont;Joras;PYTHON;10+;;;;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;
Selmy;Barristan;C++;9;1;1;1;1;1;1;1;1;1;;;;;;;1;1;1;1;1;;;1;1;1;1;1;1;1;;;;
Tully;Edmure;PHP;10+;;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;;;;;;1;1;1;1;1;1;1
Baelish;Petyr;PYTHON;10+;1;1;1;1;1;1;1;1;1;;;;;;;;1;;1;;;1;;;1;;;1;;;1;1;1
Mallister;Jon;PYTHON;20+;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;1;1;1;1
Baratheon;Robert;JAVA;20+;1;1;1;1;1;1;;;;;;1;1;1;1;1;1;1;;;;;;1;1;1;1;1;;;1;1;1
Tyrell;Luthor;C;15+;1;1;1;1;;;;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1
Redwyne;Olenna;C;4;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;
Hightower;Alerie;C;5;1;1;1;1;1;1;1;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Fossoway;Leonette;VBA;10+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Tarly;Randyll;XML;20+;1;1;1;1;1;1;1;1;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;
Forel;Syrio;XML;1;;;;;1;1;1;1;1;1;1;1;1;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1
Bolton;Roose;PHP;5;;;;;;;;;;;;1;1;1;1;;1;1;1;1;;1;1;1;1;1;;;;;;;
De Torth;Brienne;C++;4;1;1;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;
Frey;Lothar;JAVA;6;1;1;1;1;;;;1;1;1;1;1;1;;;;;;1;1;1;;1;;;;1;1;1;1;1;1;1
Rivers;Walder;C;10+;;;;;;;;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;
Arryn;Lysa;C;7;1;1;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1;;1;1;1;1;1;;1;1;1;1;1;1;1;1
Dondarrion;Bric;JAVA;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boisleau;Gerris;JAVA;2;;;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
Mervault;Davos;XML;9;;1;1;1;;1;;1;1;;1;;;;1;1;1;1;;;;;1;1;1;1;1;;;;1;;1
Greyjoy;Balon;XML;3;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;
Connington;Jon;VBA;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
H'ghar;Jaqen;HTML/CSS;5;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
Mopatis;Illyrio;HTML/CSS;10+;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;
Mormont;Jeor;C++;9;;;;1;1;1;1;;;;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;
Mimain;Qhorin;HTML/CSS;10+;1;1;1;1;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Rayder;Mance;HTML/CSS;10+;;;;;;;;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;
Reed;Meera;C++;10+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Lannister;Tytos;JAVA;15+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Karstark;Rickard;C;9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Manderly;Wyman;VBA;9;;;;;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
Cassel;Rodrick;PHP;20+;;;;;;;;;1;1;1;1;;1;1;1;1;1;;;;;1;1;1;1;;1;1;1;1;1;1
Aggripa;Cornelius;PHP;15+;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
Augirolle;Phyllida;HTML/CSS;20+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Londor;Yuria;PYTHON;2;1;1;1;1;1;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Carim;Eygon;C;20+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ilyn;Payne;PYTHON;7;1;1;1;;;;1;1;;;;1;1;1;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1
Podrick;Payne;PYTHON;10+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Martel;Elia;C++;10+;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catarina;Siegward;JAVA;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cornyx;Greirat;PHP;10+;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
La Vallette;Anais;PHP;7;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Roche;Vernon;C;10+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chivay;Zoltan;JAVA;15+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Scoia'tael;Iorveth;PHP;20+;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MYERS;Michael;PYTHON;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BAGGINS;Frodo;PYTHON;2;1;1;1;;;;1;1;1;;;;1;1;1;;;;1;1;1;;;;1;1;1;;;;1;1;1
BAGGINS;Biblo;PYTHON;3;;;;1;1;1;1;1;1;1;1;1;1;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1
SNAPE;Severus;PYTHON;4;;;1;1;1;1;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
MCGONAGALL;Minerva;PYTHON;5;1;1;1;1;1;1;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
GRANGER;Hermione;PYTHON;6;1;1;1;1;1;1;1;;;;;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
WEASLEY;Ron;PYTHON;7;;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
WEASLEY;Fred;C;2;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;1;1;1;1
WEASLEY;Percy;C;3;1;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
WEASLEY;Charlie;C;4;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
WEASLEY;Bill;C;5;;1;1;1;1;1;1;;;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
WEASLEY;Jinny;C#;4;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1
WEASLEY;George;C++;1;1;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
TCHANG;Kai-Chek;C++;2;;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
WHITE;Walter;C++;3;1;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
PAUL;Aaron;C++;4;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
RICHTOFEN;Edward;C++;5;;1;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
BELINSKI;Nikolai;C++;6;;1;1;1;1;1;1;;;;;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
EVANS;Cadel;C++;7;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;1;1;1;1
BOLL;Uwe;HTML/CSS;5;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
LANTIER;Etienne;JAVA;1;;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
MAHEU;Catherine;JAVA;3;;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
MAHEU;Toussaint;JAVA;5;1;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;
MAHEU;Zacharie;JAVA;7;1;1;1;1;1;1;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
PICKMAN;Jesse;JAVA;9;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
KASKOLNIKOV;Rodion;JAVA;10+;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
PETROVICH;Porphyre;JAVA;10+;1;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
DE BASKERVILLE;Guillaume;JAVA;15+;;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BRUNO;Giordano;JAVA;15+;;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
GUI;Bernardo;JAVA;15+;1;1;1;1;1;1;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
LOTHBROCK;Ragnar;JAVA;20+;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
LAMASSE;Stehane;JAVA;20+;;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
VAN DER BREGGEN;Anna;JAVA;2;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;1;1;1;1
DEIGNAN;Elizabeth;JAVA;4;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
RIVERA;Coryn;JAVA;6;1;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
NIEWIADOMA;Katarzyna;JAVA;8;;1;1;1;1;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BRAVARD;Charlotte;PHP;3;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CANINS;Maria;PHP;6;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
JOHANSSON;Emma;PHP;9;;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
VOS;Marianne;PHP;10+;;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
HUANG;Ting Ying;VBA;1;1;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
PANG;Yao;VBA;4;1;1;1;1;1;1;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
YONAMINE;Eri;VBA;8;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;1;1
HAGIWARA;Mayuko;VBA;10+;;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
AL-UMARI;Ibn Abdallah;XML;1;1;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;1;1
IBN KHALDUN;Abu Zayd;XML;5;1;;;;;;1;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
MALTESE;Corto;XML;10+;;1;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;1;1
TORRANCE;Wendy;XML;15+;1;1;1;1;1;1;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
STARLING;Clarice;XML;20+;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;
